Date,Index Close,Return,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,Fama Mkt Excess,SMB,HML,1M TBill,Mom,Term spread,CPIAUCSL,defaultspread,DY,EY,DP,DE,BAB,Mkt-RF day 0,HML day 0,SMB day 0,Mkt-RF day 1,HML day 1,SMB day 1,Mkt-RF day 2,HML day 2,SMB day 2,Mkt-RF day 3,HML day 3,SMB day 3,Mkt-RF day 4,HML day 4,SMB day 4,Mkt-RF day 5,HML day 5,SMB day 5,Mkt-RF day 6,HML day 6,SMB day 6,Mkt-RF day 7,HML day 7,SMB day 7,Mkt-RF day 8,HML day 8,SMB day 8,Mkt-RF day 9,HML day 9,SMB day 9,Mkt-RF day 10,HML day 10,SMB day 10,Mkt-RF day 11,HML day 11,SMB day 11,Mkt-RF day 12,HML day 12,SMB day 12,Mkt-RF day 13,HML day 13,SMB day 13,Mkt-RF day 14,HML day 14,SMB day 14,Mkt-RF day 15,HML day 15,SMB day 15,Mkt-RF day 16,HML day 16,SMB day 16,Mkt-RF day 17,HML day 17,SMB day 17,Mkt-RF day 18,HML day 18,SMB day 18,Mkt-RF day 19,HML day 19,SMB day 19,Mkt-RF day 20,HML day 20,SMB day 20,Mkt-RF day 21,HML day 21,SMB day 21,Mkt-RF day 22,HML day 22,SMB day 22,Mkt-RF day 23,HML day 23,SMB day 23,Mkt-RF day 24,HML day 24,SMB day 24,Mkt-RF day 25,HML day 25,SMB day 25,Mkt-RF day 26,HML day 26,SMB day 26,Mkt-RF day 27,HML day 27,SMB day 27
1871-01-31,4.44,,0.26,0.4,,,,,,,0.004955125,,,,,,,,,,,,,,,,,,5.86,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-02-28,4.5,0.013513514,0.26,0.4,,,,,,,0.004514458,,,,,,,,,,,,,,,,5.86,9.01,5.78,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-03-31,4.61,0.024444444,0.26,0.4,,,,,,,0.004242616,,,,,,,,,,,,,,,,5.78,8.89,5.64,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-04-30,4.74,0.028199566,0.26,0.4,,,,,,,0.004631988,,,,,,,,,,,,,,,,5.64,8.68,5.49,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-05-31,4.86,0.025316456,0.26,0.4,,,,,,,0.00369136,,,,,,,,,,,,,,,,5.49,8.44,5.35,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-06-30,4.82,-0.008230453,0.26,0.4,,,,,,,0.003367814,,,,,,,,,,,,,,,,5.35,8.23,5.39,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-07-31,4.73,-0.018672199,0.26,0.4,,,,,,,0.003250135,,,,,,,,,,,,,,,,5.39,8.3,5.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-08-31,4.79,0.012684989,0.26,0.4,,,,,,,0.003706064,,,,,,,,,,,,,,,,5.5,8.46,5.43,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-09-30,4.84,0.010438413,0.26,0.4,,,,,,,0.004543842,,,,,,,,,,,,,,,,5.43,8.35,5.37,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-10-31,4.59,-0.051652893,0.26,0.4,,,,,,,0.007016334,,,,,,,,,,,,,,,,5.37,8.26,5.66,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
