Date,Index Close,Return,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,Fama Mkt Excess,SMB,HML,1M TBill,Mom   ,Term spread,CPIAUCSL,defaultspread,DY,EY,DP,DE,BAB
1871-01-31,4.44,,0.26,0.4,,,,,,,0.004955125,,,,,,,,,,,,,,,,,,5.86,65.0,
1871-02-28,4.5,0.013513513513513375,0.26,0.4,,,,,,,0.004514458,,,,,,,,,,,,,,,,5.86,9.01,5.78,65.0,
1871-03-31,4.61,0.02444444444444449,0.26,0.4,,,,,,,0.004242615999999999,,,,,,,,,,,,,,,,5.78,8.89,5.64,65.0,
1871-04-30,4.74,0.02819956616052055,0.26,0.4,,,,,,,0.004631988,,,,,,,,,,,,,,,,5.64,8.68,5.49,65.0,
1871-05-31,4.86,0.025316455696202445,0.26,0.4,,,,,,,0.00369136,,,,,,,,,,,,,,,,5.49,8.44,5.35,65.0,
1871-06-30,4.82,-0.008230452674897082,0.26,0.4,,,,,,,0.0033678140000000002,,,,,,,,,,,,,,,,5.35,8.23,5.39,65.0,
1871-07-31,4.73,-0.018672199170124415,0.26,0.4,,,,,,,0.003250135,,,,,,,,,,,,,,,,5.39,8.3,5.5,65.0,
1871-08-31,4.79,0.012684989429175397,0.26,0.4,,,,,,,0.0037060640000000002,,,,,,,,,,,,,,,,5.5,8.46,5.43,65.0,
1871-09-30,4.84,0.010438413361169019,0.26,0.4,,,,,,,0.004543842,,,,,,,,,,,,,,,,5.43,8.35,5.37,65.0,
1871-10-31,4.59,-0.051652892561983466,0.26,0.4,,,,,,,0.007016334,,,,,,,,,,,,,,,,5.37,8.26,5.66,65.0,
1871-11-30,4.64,0.01089324618736387,0.26,0.4,,,,,,,0.006466605,,,,,,,,,,,,,,,,5.66,8.71,5.6,65.0,
1871-12-31,4.74,0.02155172413793105,0.26,0.4,,,,,,,0.006950382,,,,,,,,,,,,,,,,5.6,8.62,5.49,65.0,
1872-01-31,4.86,0.025316455696202445,0.2633,0.4025,,,,,,,0.005747836,,,,,,,,,,,,,,,,5.55,8.49,5.42,65.41614907,
1872-02-28,4.88,0.00411522633744843,0.2667,0.405,,,,,,,0.00520475,,,,,,,,,,,,,,,,5.49,8.33,5.47,65.85185185,
1872-03-31,5.04,0.032786885245901676,0.27,0.4075,,,,,,,0.0059825930000000005,,,,,,,,,,,,,,,,5.53,8.35,5.36,66.25766871,
1872-04-30,5.18,0.02777777777777768,0.2733,0.41,,,,,,,0.0060119330000000006,,,,,,,,,,,,,,,,5.42,8.13,5.28,66.65853659,
1872-05-31,5.18,0.0,0.2767,0.4125,,,,,,,0.0049404390000000005,,,,,,,,,,,,,,,,5.34,7.96,5.34,67.07878788,
1872-06-30,5.13,-0.009652509652509633,0.28,0.415,,,,,,,0.004058898,,,,,,,,,,,,,,,,5.41,8.01,5.46,67.46987952,
1872-07-31,5.1,-0.005847953216374324,0.2833,0.4175,,,,,,,0.0043895670000000005,,,,,,,,,,,,,,,,5.52,8.14,5.55,67.85628743,
1872-08-31,5.04,-0.0117647058823529,0.2867,0.42,,,,,,,0.00520475,,,,,,,,,,,,,,,,5.62,8.24,5.69,68.26190476,
1872-09-30,4.95,-0.017857142857142794,0.29,0.4225,,,,,,,0.006994350999999999,,,,,,,,,,,,,,,,5.75,8.38,5.86,68.63905325,
1872-10-31,4.97,0.004040404040403844,0.2933,0.425,,,,,,,0.007580409000000001,,,,,,,,,,,,,,,,5.93,8.59,5.9,69.01176471,
1872-11-30,4.95,-0.004024144869215207,0.2967,0.4275,,,,,,,0.008180762,,,,,,,,,,,,,,,,5.97,8.6,5.99,69.40350877,
1872-12-31,5.07,0.024242424242424176,0.3,0.43,,,,,,,0.007602379,,,,,,,,,,,,,,,,6.06,8.69,5.92,69.76744186,
1873-01-31,5.11,0.007889546351084853,0.3025,0.4325,,,,,,,0.006466605,,,,,,,,,,,,,,,,5.97,8.53,5.92,69.94219653,
1873-02-28,5.15,0.007827788649706457,0.305,0.435,,,,,,,0.006539919,,,,,,,,,,,,,,,,5.97,8.51,5.92,70.11494253,
1873-03-31,5.11,-0.007766990291262155,0.3075,0.4375,,,,,,,0.007082281,,,,,,,,,,,,,,,,5.97,8.5,6.02,70.28571429,
1873-04-30,5.04,-0.013698630136986356,0.31,0.44,,,,,,,0.008019726999999999,,,,,,,,,,,,,,,,6.07,8.61,6.15,70.45454545,
1873-05-31,5.05,0.001984126984126977,0.3125,0.4425,,,,,,,0.0056157609999999995,,,,,,,,,,,,,,,,6.2,8.78,6.19,70.62146893,
1873-06-30,4.98,-0.013861386138613763,0.315,0.445,,,,,,,0.004668713,,,,,,,,,,,,,,,,6.24,8.81,6.33,70.78651685,
1873-07-31,4.97,-0.002008032128514192,0.3175,0.4475,,,,,,,0.00438222,,,,,,,,,,,,,,,,6.38,8.99,6.39,70.94972067,
1873-08-31,4.97,0.0,0.32,0.45,,,,,,,0.004837632,,,,,,,,,,,,,,,,6.44,9.05,6.44,71.11111111,
1873-09-30,4.59,-0.07645875251509049,0.3225,0.4525,,,,,,,0.010125772,,,,,,,,,,,,,,,,6.49,9.1,7.03,71.27071823,
1873-10-31,4.19,-0.08714596949891051,0.325,0.455,,,,,,,0.011746158999999999,,,,,,,,,,,,,,,,7.08,9.91,7.76,71.42857143,
1873-11-30,4.04,-0.0357995226730311,0.3275,0.4575,,,,,,,0.010286468,,,,,,,,,,,,,,,,7.82,10.92,8.11,71.58469945,
1873-12-31,4.42,0.09405940594059414,0.33,0.46,,,,,,,0.006847781999999999,,,,,,,,,,,,,,,,8.17,11.39,7.47,71.73913043,
1874-01-31,4.66,0.05429864253393668,0.33,0.46,,,,,,,0.005116654,,,,,,,,,,,,,,,,7.47,10.41,7.08,71.73913043,
1874-02-28,4.8,0.030042918454935563,0.33,0.46,,,,,,,0.004058898,,,,,,,,,,,,,,,,7.08,9.87,6.88,71.73913043,
1874-03-31,4.73,-0.01458333333333317,0.33,0.46,,,,,,,0.004161784,,,,,,,,,,,,,,,,6.88,9.58,6.98,71.73913043,
1874-04-30,4.6,-0.02748414376321373,0.33,0.46,,,,,,,0.004242615999999999,,,,,,,,,,,,,,,,6.98,9.73,7.17,71.73913043,
1874-05-31,4.48,-0.02608695652173898,0.33,0.46,,,,,,,0.0038089870000000002,,,,,,,,,,,,,,,,7.17,10.0,7.37,71.73913043,
1874-06-30,4.46,-0.0044642857142858094,0.33,0.46,,,,,,,0.0037354709999999998,,,,,,,,,,,,,,,,7.37,10.27,7.4,71.73913043,
1874-07-31,4.46,0.0,0.33,0.46,,,,,,,0.00377223,,,,,,,,,,,,,,,,7.4,10.31,7.4,71.73913043,
1874-08-31,4.47,0.0022421524663676085,0.33,0.46,,,,,,,0.003647246,,,,,,,,,,,,,,,,7.4,10.31,7.38,71.73913043,
1874-09-30,4.54,0.015659955257270708,0.33,0.46,,,,,,,0.004242615999999999,,,,,,,,,,,,,,,,7.38,10.29,7.27,71.73913043,
1874-10-31,4.53,-0.0022026431718060735,0.33,0.46,,,,,,,0.0039192490000000005,,,,,,,,,,,,,,,,7.27,10.13,7.28,71.73913043,
1874-11-30,4.57,0.008830022075055233,0.33,0.46,,,,,,,0.0037795809999999997,,,,,,,,,,,,,,,,7.28,10.15,7.22,71.73913043,
1874-12-31,4.54,-0.006564551422319487,0.33,0.46,,,,,,,0.004058898,,,,,,,,,,,,,,,,7.22,10.07,7.27,71.73913043,
1875-01-31,4.54,0.0,0.3275,0.4517,,,,,,,0.00350754,,,,,,,,,,,,,,,,7.21,9.95,7.21,72.50387425,
1875-02-28,4.53,-0.0022026431718060735,0.325,0.4433,,,,,,,0.003463418,,,,,,,,,,,,,,,,7.16,9.76,7.17,73.31378299,
1875-03-31,4.59,0.013245033112582627,0.3225,0.435,,,,,,,0.0039854009999999995,,,,,,,,,,,,,,,,7.12,9.6,7.03,74.13793103,
