,Index Close,Return,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,SMB,HML,RMW,CMA,Mom,Term spread,CPIAUCSL,defaultspread,DY,EY,DP,DE,BAB,Mkt-RF day 0,Mkt-RF day 1,Mkt-RF day 2,Mkt-RF day 3,Mkt-RF day 4,Mkt-RF day 5,Mkt-RF day 6,Mkt-RF day 7,Mkt-RF day 8,Mkt-RF day 9,Mkt-RF day 10,Mkt-RF day 11,Mkt-RF day 12,Mkt-RF day 13,Mkt-RF day 14,Mkt-RF day 15,Mkt-RF day 16,Mkt-RF day 17,Mkt-RF day 18,Mkt-RF day 19,Mkt-RF day 20,Mkt-RF day 21,Mkt-RF day 22,Mkt-RF day 23,Mkt-RF day 24,Mkt-RF day 25,Mkt-RF day 26,Mkt-RF day 27,SMB day 0,SMB day 1,SMB day 2,SMB day 3,SMB day 4,SMB day 5,SMB day 6,SMB day 7,SMB day 8,SMB day 9,SMB day 10,SMB day 11,SMB day 12,SMB day 13,SMB day 14,SMB day 15,SMB day 16,SMB day 17,SMB day 18,SMB day 19,SMB day 20,SMB day 21,SMB day 22,SMB day 23,SMB day 24,SMB day 25,SMB day 26,SMB day 27,HML day 0,HML day 1,HML day 2,HML day 3,HML day 4,HML day 5,HML day 6,HML day 7,HML day 8,HML day 9,HML day 10,HML day 11,HML day 12,HML day 13,HML day 14,HML day 15,HML day 16,HML day 17,HML day 18,HML day 19,HML day 20,HML day 21,HML day 22,HML day 23,HML day 24,HML day 25,HML day 26,HML day 27
1926-07-31,12.88,0.045454545,0.6525,1.244,0.43326258,0.0311,0.0471,0.0579,0.037000000000000005,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040402999999999994,0.038168,,,,,,,,1.08,5.39,10.27,5.17,52.45176849,,0.1,0.45,0.17,0.09,0.21,-0.71,0.62,0.04,0.48,0.04,-0.43,0.53,0.34,-0.01,-0.57,-0.6,-0.73,-0.02,-0.14,0.53,0.43,1.09,0.36,0.14,0.46,-0.24,-0.32,0.27,-0.59,-0.36,0.44,-0.5,0.03,-0.26,0.09,0.54,0.01,0.43,0.01,-0.23,0.21,-0.3,0.08,0.44,-0.38,-0.45,0.04,-0.61,-0.47,-0.12,-0.28,-0.08,-0.35,0.03,0.15,0.56,-0.15,0.54,-0.23,-0.48,-0.3,-0.57,-0.63,-0.49,0.16,0.31,-0.17,0.06,-0.06,-0.25,0.26,-0.28,-1.01,0.55,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1926-08-31,13.1,0.017080745,0.66,1.2429999999999999,0.42705064299999995,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0.0,0.0044,0.001208628,,0.029822,0.025747000000000003,,,,,,,,1.09,5.23,9.85,5.03,53.09734513,,0.84,0.47,-0.36,-0.09,0.68,0.46,0.21,-1.4,-0.57,0.84,0.58,0.69,0.07,-0.95,0.26,-0.6,-0.2,0.32,0.49,-0.84,-0.32,0.53,0.35,0.34,0.3,0.58,-0.22,-0.27,0.16,0.01,0.08,0.08,-0.04,0.34,0.21,-0.77,-0.85,0.15,0.23,0.34,0.08,0.12,-0.36,-0.06,-0.48,0.5,-0.43,0.09,0.13,0.15,0.0,-0.52,-0.03,-0.6,0.25,0.73,0.16,-0.24,-0.26,0.21,0.34,0.42,0.25,-0.36,0.7,0.16,0.04,0.1,0.42,0.49,0.62,-0.09,0.28,0.5,-0.39,-0.06,0.42,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
1926-09-30,13.4,0.022900762999999998,0.6675,1.242,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122,,,,,,,,1.07,5.09,9.47,5.01,53.74396135,,0.55,-0.06,0.5,0.59,-0.51,-0.07,-0.83,-0.44,-0.03,0.9,-0.21,-0.18,-1.01,0.7,-0.64,0.3,-0.13,0.26,0.62,0.21,-0.12,0.0,-0.3,0.3,0.52,-0.07,-0.3,-0.25,-0.1,0.16,0.09,0.32,-0.11,-0.62,0.4,-0.33,-0.16,-0.28,0.03,-0.42,0.05,-0.16,-0.19,0.02,0.14,-0.02,0.22,-0.22,-0.08,0.21,0.03,-0.24,0.08,0.26,-0.13,0.13,0.5,0.09,-0.19,0.1,-0.28,-0.11,-0.01,0.19,-0.01,0.06,-0.03,-0.56,0.39,-0.35,-0.19,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1926-10-30,12.98,-0.031343284,0.675,1.242,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172000000000004,-0.032434,,,,,,,,1.1,5.07,9.32,5.18,54.34782609,,0.73,-0.1,-1.4,-1.1,-0.56,-0.77,0.59,-0.96,-0.69,0.69,0.97,-1.83,-0.73,0.7,-1.06,-0.25,1.53,-0.4,0.54,-0.1,0.32,1.0,-0.08,-0.06,-0.25,-0.27,-0.02,-0.1,0.44,-0.69,0.32,-0.36,0.44,-0.08,-0.31,-0.47,0.13,-0.34,-0.16,0.4,-0.59,-0.12,0.44,0.5,0.35,0.02,-0.47,0.69,0.01,0.2,-0.23,-0.08,-0.1,-0.72,-0.28,0.3,0.58,-0.05,-0.16,-0.04,1.08,-0.29,0.42,0.46,-0.54,-1.17,0.55,0.2,0.19,-0.03,0.3,0.19,0.2,-0.33,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1926-11-30,13.27,0.022342065,0.6825,1.2409999999999999,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.0027916670000000003,0.005681818000000001,0.016,0.0057,0.000538589,,0.026937,0.019367,,,,,,,,1.09,5.24,9.53,5.17,54.99597099,,0.46,0.2,0.59,0.07,0.16,0.52,0.13,-0.6,0.67,0.24,-0.24,0.37,0.15,-0.35,-0.48,-0.64,0.4,0.57,0.33,0.08,0.2,-0.15,-0.37,0.26,-0.11,-0.24,-0.15,-0.09,-0.29,-0.07,0.29,0.15,0.03,-0.03,0.12,0.28,-0.31,-0.35,0.17,0.56,0.01,0.16,0.02,-0.22,-0.02,-0.04,-0.13,0.03,-0.43,-0.28,0.69,0.23,0.05,0.08,-0.49,0.09,0.09,-0.37,-0.16,-0.25,-0.06,0.46,0.2,0.07,0.12,-0.2,0.2,0.2,0.03,-0.28,0.06,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1926-12-31,13.49,0.016578749,0.69,1.24,0.44147582700000004,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0.0,0.0078,0.0056,0.00046461800000000003,,0.026047000000000004,0.020321000000000002,,,,,,,,1.0,5.23,9.4,5.11,55.64516129,,0.36,0.51,0.32,-0.17,0.04,-0.04,-0.08,0.45,0.35,0.09,0.42,0.1,0.17,-0.63,0.91,0.42,-0.31,-0.03,0.02,0.28,0.31,-0.22,-1.07,0.44,-0.35,0.33,0.05,-0.01,-0.05,0.2,0.32,0.34,0.21,-0.15,-0.17,-0.1,0.64,-0.09,-0.22,-0.2,-0.75,-0.22,0.08,-0.38,-0.19,0.01,0.21,-0.14,-0.07,-0.16,0.44,0.3,-0.34,0.1,0.06,0.1,-0.37,-0.51,0.25,0.44,0.5,-0.5,0.0,0.14,0.22,0.05,0.68,0.2,-0.13,-0.19,-0.53,-0.47,0.26,-0.4,-0.16,-0.06,0.1,0.67,0.0,0.0,0.0,0.0,0.0,0.0
1927-01-31,13.21,-0.020756116,0.6967,1.229,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050832762999999996,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,,-0.0029100000000000003,-0.005579,,,,,0.44,,,0.95,5.16,9.11,5.2,56.68836452,,-0.79,0.31,0.14,-0.17,0.3,0.39,0.14,-0.28,0.07,-0.04,0.05,0.13,-0.04,-0.06,0.61,-0.17,-0.01,-0.36,-0.48,-1.07,0.19,-0.35,0.16,0.73,0.61,0.19,0.15,0.43,0.0,-0.25,-0.18,0.02,-0.36,-0.06,0.2,-0.85,0.1,-0.18,-0.22,-0.01,-0.3,0.6,0.26,0.47,-0.47,0.12,0.0,0.16,-0.41,0.12,0.09,-0.67,-0.31,0.07,0.44,0.27,0.16,0.87,0.02,-0.3,0.92,0.83,0.77,0.01,-0.77,0.13,1.29,0.34,1.44,-1.29,0.48,-0.42,0.76,-0.29,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1927-02-28,13.84,0.047691143,0.7033,1.218,0.428500864,0.0329,0.0467,0.0559,0.0347,0.051680967,0.002741667,-0.005714286,0.0088,0.0069,0.00028733400000000004,,0.045522,0.040566000000000005,,,,,-2.01,,,0.92,5.25,9.09,5.15,57.74220033,,-0.01,0.7,0.17,0.37,-0.18,-0.13,0.1,0.04,0.08,0.31,0.49,0.1,-0.02,0.24,0.32,0.01,-0.17,0.72,0.14,0.21,0.07,0.55,0.53,-0.21,0.21,0.12,0.31,0.64,0.19,-0.88,0.28,-0.44,-0.14,-0.27,0.01,0.07,-0.73,0.38,0.19,-0.33,0.35,0.24,-0.19,-0.38,1.11,0.1,-0.07,1.38,0.45,0.47,1.03,-0.57,-0.69,-0.63,-0.29,-0.16,1.55,0.86,-0.12,-0.48,-0.9,-0.13,0.09,-0.33,-0.05,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1927-03-31,13.93,0.00650289,0.71,1.208,0.469765117,0.032,0.0462,0.0554,0.0331,0.046369916,0.002666667,-0.005747126,0.0253,0.0083,0.000924193,,0.007324,0.0026100000000000003,,,,,3.59,,,0.92,5.2,8.84,5.12,58.77483444,,-0.4,-1.14,1.02,-0.45,-0.24,-0.37,0.12,0.49,0.46,0.17,-0.04,0.18,-0.81,1.02,0.42,-0.79,0.04,0.17,-1.06,0.19,0.68,0.16,0.34,0.52,-0.23,-0.62,0.3,-0.03,-0.14,-0.05,0.22,0.6,-0.1,-0.53,0.17,0.1,-0.25,-0.06,0.04,-0.1,-0.5,-0.31,0.11,0.01,-0.54,0.17,0.01,-0.04,0.45,0.14,-0.24,-0.09,0.11,-0.85,-0.55,-0.33,0.05,-0.16,-0.46,-0.58,-0.34,0.34,0.46,0.24,-0.19,-0.78,-0.44,-0.06,-0.41,-0.42,-0.21,0.05,-0.54,0.51,0.06,-0.33,0.18,0.07,-0.41,1.25,0.55,0.0,0.0,0.0
1927-04-30,14.17,0.017229002,0.7167,1.197,0.45675413,0.0339,0.0458,0.0548,0.0333,0.050517902,0.002825,0.0,-0.0005,0.0055,0.0006025890000000001,,0.013021000000000001,0.010907,,,,,4.19,,,0.9,5.17,8.63,5.04,59.87468672,,-0.05,-0.08,0.53,0.59,0.11,0.24,0.31,0.03,0.19,-0.29,0.21,0.09,0.18,-0.03,0.18,0.27,0.36,0.07,-0.37,-1.56,0.58,-0.38,-1.11,0.48,-0.01,-0.19,0.19,-0.21,-0.3,-0.1,-0.35,0.35,-0.13,0.0,0.57,0.13,0.37,0.55,-0.17,-0.08,-0.37,-0.25,-0.34,0.24,0.08,0.04,0.07,0.19,0.0,0.21,-0.31,0.02,1.12,0.01,-0.04,0.33,-0.05,0.29,-0.15,-0.12,-1.14,-0.2,0.18,0.75,0.32,0.94,-0.76,0.04,0.0,0.1,-0.43,0.2,-0.35,-0.18,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
