,Mkt-RF,SMB,HML,RF,Book to Market Ratio,Treasury Bill,AAA Yields,BAA Yields,Long Term Yield,Net Equity Expansion,Risk-Free Rate,Inflation,Long Term Rate of Returns,corpr,Stock Variance,Cross-Sectional Premium,CRSP Value Weighted Return,CRSP Value Weighted Return Excluding Dividends
19260701,0.1,-0.24,-0.28,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260702,0.45,-0.32,-0.08,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260706,0.17,0.27,-0.35,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260707,0.09,-0.59,0.03,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260708,0.21,-0.36,0.15,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260709,-0.71,0.44,0.56,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260710,0.62,-0.5,-0.15,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260712,0.04,0.03,0.54,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260713,0.48,-0.26,-0.23,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260714,0.04,0.09,-0.48,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260715,-0.43,0.54,-0.3,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260716,0.53,0.01,-0.57,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260717,0.34,0.43,-0.63,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260719,-0.01,0.01,-0.49,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260720,-0.57,-0.23,0.16,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260721,-0.6,0.21,0.31,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260722,-0.73,-0.3,-0.17,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260723,-0.02,0.08,0.06,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260724,-0.14,0.44,-0.06,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
